Url,Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace surface,Garden surface,Surface of the plot,Number of facades,Swimming pool,Building condition,Construction year,Street frontage width,Number of frontages,Surroundings type,Living room,Dressing room,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Connection to sewer network,"Gas, water & electricity",Primary energy consumption,Energy class,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Photovoltaic solar panels,Thermic solar panels,Common water heater,Double glazing,Planning permission obtained,Type of building,Obligation to build,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Tenement building,Address,External reference
https://www.immoweb.be/en/classified/house/for-sale/oostende/8400/11136419,11136419,oostende,8400,269000,house,house,for-sale,3,135,1,0,0,,,166,,0,To be done up,1963,8 m,2,"Living area (residential, urban or rural)",1,0,0,0,0,0,1,Connected,1,176,B,,,Gas,1,0,0,1,1,All kind,0,0,0,0,Non flood zone,"Living area (residential, urban or rural)",0,Steenbrugsestraat 21,TK/LO/KB/0641
https://www.immoweb.be/en/classified/house/for-sale/ruddervoorde/8020/11136420,11136420,ruddervoorde,8020,569000,house,house,for-sale,3,256,1,0,1,,,984,,0,Good,1992,,4,Fitted out,1,0,0,0,0,1,1,Connected,0,275,C,,,Fuel oil,0,0,0,1,1,All kind,0,0,0,0,Non flood zone,"Living area (residential, urban or rural)",0,Steenbrugsestraat 21,TK/LO/NV/0888
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/11128877,11128877,bruxelles,1000,1920000,house,apartment-block,for-sale,15,1200,1,0,0,60,,400,,0,Good,1950,,2,Isolated,,,,,,,,,,158,D,31 kg CO₂/m²,,Gas,,,,1,,,,,,,Non flood zone,,1,.,5844953
https://www.immoweb.be/en/classified/farmhouse/for-sale/brugge/8380/11136359,11136359,brugge,8380,1099000,house,farmhouse,for-sale,4,234,1,0,0,,,35475,,0,To renovate,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,Non flood zone,Farming area,0,Grote Markt 1,
https://www.immoweb.be/en/classified/flat-studio/for-sale/ixelles/1050/11135966,11135966,ixelles,1050,219000,appartment,flat-studio,for-sale,,38,1,0,0,,,,,0,Just renovated,,,,,,,,,,,,,,475,G,,,Gas,,,,1,,,,,,,,,0,"Avenue Louise, 523",5863974
https://www.immoweb.be/en/classified/house/for-sale/zingem/9750/11136298,11136298,zingem,9750,290000,house,house,for-sale,3,168,1,0,0,,,451,,0,To renovate,1925,,,,,,,,,,,,0,780,F,,,Gas,,,,1,,,,0,0,,Non flood zone,"Living area (residential, urban or rural)",0,Gentiel Antheunisplein 6,2788 - 3807
https://www.immoweb.be/en/classified/apartment/for-sale/willebroek/2830/11079381,11079381,willebroek,2830,205000,appartment,apartment,for-sale,1,65,1,0,0,5,,,,0,Good,2008,,,,,,,,,,,,,168,B,,,Gas,,,,1,1,,,0,,0,Non flood zone,"Living area (residential, urban or rural)",0,Dorpshart 10,10165 - TK/23104/1
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11136174,11136174,gent,9000,220000,appartment,apartment,for-sale,,,1,0,0,,,,,0,,,,,Fitted out,,,,,,,,,,,,,,,,,,0,,All kind,0,0,0,0,,,0,Begijnhofdries 31,
https://www.immoweb.be/en/classified/house/for-sale/melle/9090/11135602,11135602,melle,9090,389000,house,house,for-sale,3,,1,0,0,,,,,0,To be done up,1952,8.3 m,2,,1,,,,,,,,1,272,C,,,,,1,,1,1,,,,,0,,,0,Brakelstraat 93,5825422
https://www.immoweb.be/en/classified/house/for-sale/evergem/9940/11136173,11136173,evergem,9940,389000,house,house,for-sale,3,136,1,0,0,,293,373,,0,Good,1962,7.5 m,3,Fitted out,1,0,0,0,0,1,1,Connected,1,189,B,,,,1,0,0,1,,All kind,0,0,0,0,Non flood zone,"Living area (residential, urban or rural)",0,Begijnhofdries 31,
