Url,Id,Locality name,Postal code,Price,Property type,Property subtype,Type of sale,Fireplaces:,Swimming pool,Kitchen type:,Available as of,Neighbourhood or locality,Construction year,Building condition,Street frontage width,Number of frontages,Covered parking spaces,Surroundings type,Living area,Living room surface,Dining room,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bedroom 4 surface,Bedroom 5 surface,Bathrooms,Shower rooms,Toilets,Office surface,Office,Professional space surface,Basement,Furnished,Surface of the plot,Connection to sewer network,"Gas, water & electricity",Terrace,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Double glazing,Tenement building,Address,External reference
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/11120011,11120011,bruxelles,1000,1250000,house,house,for-sale,0,0,0,After signing the deed,Bruxelles (19 communes),1932,As new,7 m,2,1,Mall,435,30,1,1,30,6,40,20,21,15,15,2,1,4,17,1,80,1,0,253,Connected,1,1,172,D,20240116-0000667435-01-2,34 kg CO₂/m²,,Gas,1,0,16 rue Bois Lionnet,5840657
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/11127427,11127427,bruxelles,1000,995000,house,apartment-block,for-sale,0,0,0,Depending on the tenant,,1950,Good,,2,,Isolated,630,,,1,,10,20,20,15,20,14,5,5,5,,,,,0,200,,,,158,D,,31 kg CO₂/m²,,Gas,1,1,.,5843006
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10923264,10923264,bruxelles,1000,379000,house,house,for-sale,0,0,0,Immediately,,,To be done up,,2,,Urban,200,,,1,,6,19,17,16,15,14,2,,,,,,,0,75,,,,452,G,,119 kg CO₂/m²,,Fuel oil,,0,Bld. Brand Whitlock 108,5594494
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/brussels/1000/11094009,11094009,brussels,1000,845000,house,mixed-use-building,for-sale,0,0,0,After signing the deed,BRUXELLES CENTRE VILLE,1956,To renovate,7 m,2,1,Urban,800,,,,,7,,,,,,,,,,1,,1,,266,Connected,,,,,,,,Fuel oil,,1,Bld. Brand Whitlock 108,5824285
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/11061689,11061689,bruxelles,1000,565000,house,house,for-sale,0,0,0,After signing the deed,,1930,To be done up,6 m,2,,,265,,,1,,5,14,14,14,14,14,4,4,5,,,,,0,110,Connected,1,,237,E,,47 kg CO₂/m²,,Gas,1,0,av. de la Floride 77,5720304
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10941385,10941385,bruxelles,1000,1390000,house,house,for-sale,0,0,0,After signing the deed,,1900,As new,,2,,,322,62,1,1,,5,35,20,20,19,19,5,,5,,0,,,0,,Connected,0,,213,E,20231031-test,44 kg CO₂/m²,,Gas,1,0,Avenue Louise 404a,83473766
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10825352,10825352,bruxelles,1000,799000,house,house,for-sale,0,0,0,,,1930,,,2,,,430,,,,,6,,,,,,3,,,,0,,,0,10,Not connected,1,1,255,E,202212080000628013013,49 kg CO₂/m²,,Gas,0,0,Rue Archimède 17,a0i0800000CwXajAAF
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10492935,10492935,bruxelles,1000,410000,house,house,for-sale,0,0,0,After signing the deed,Bruxelles Sud + Centre,2017,As new,,2,,Urban,100,28,,1,6,2,15,14,,,,2,,2,,1,,1,0,109,,,,100,C,,50 kg CO₂/m²,,Gas,1,0,Avenue de Tervueren 446,5305605
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/bruxelles/1000/11116474,11116474,bruxelles,1000,1150000,house,mixed-use-building,for-sale,0,0,0,Immediately,Bruxelles- Quartier CEE,1880,Good,,2,1,"Living area (residential, urban or rural)",400,,,1,,6,30,19,18,15,12,2,2,3,,,,,0,233,,,,,,,,,Gas,,1,Rue Franklin  90,5703449
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/11127207,11127207,bruxelles,1000,445000,house,house,for-sale,0,0,0,After signing the deed,,,Just renovated,6 m,2,,,162,31,,1,,4,,,,,,2,,2,,,,1,,60,,0,,144,C,,28 kg CO₂/m²,,Gas,1,0,Place des chasseurs Ardennais 24-26,9752 - 654659172
