Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace surface,Garden surface,Surface of the plot,Number of facades,Swimming pool,Building condition
11118082,gavere,9890,269700,appartment,apartment,for-sale,1,76,1,0,0,11,,,,0,As new
11129292,middelkerke,8430,335000,appartment,apartment,for-sale,2,86,1,0,0,,,,,0,Good
11129289,mellet,6211,275000,house,villa,for-sale,3,186,1,0,0,,,1070,,0,To be done up
9299048,blankenberge,8370,75000,appartment,apartment,for-sale,1,26,1,0,0,,,,,0,Good
10650818,zwevegem,8550,235000,appartment,service-flat,for-sale,1,86,1,0,0,25,,,,0,
11129301,blankenberge,8370,119500,appartment,apartment,for-sale,2,72,1,0,0,,20,,,0,Good
11129307,anderlecht,1070,175000,appartment,apartment,for-sale,1,62,1,0,0,8,,,,0,
11129303,de%20haan,8420,119000,appartment,apartment,for-sale,2,48,1,0,0,,,,,0,Good
11129309,antwerp,2018,179000,appartment,flat-studio,for-sale,1,48,1,0,0,,,,,0,Good
11129318,hogne,5377,185000,appartment,country-cottage,for-sale,2,60,1,0,0,14,,1446,,0,Good
11129315,grimbergen,1850,225000,house,house,for-sale,,95,1,0,0,,,358,,0,Good
11129311,ieper,8900,199000,house,house,for-sale,3,,1,0,0,,25,125,,0,
11129314,mechelen,2811,385000,house,house,for-sale,3,,1,0,0,,,1400,,0,Good
11129306,wemmel,1780,925000,house,house,for-sale,5,453,1,0,0,,600,1066,,0,Good
11125650,liege,4000,179000,appartment,apartment,for-sale,2,102,1,0,0,8,,,,0,Good
11125956,ronse,9600,169000,house,house,for-sale,3,117,1,0,0,,17,80,,0,Just renovated
11129261,torhout,8820,249000,house,house,for-sale,5,186,1,0,0,,,630,,0,Good
11104788,torhout,8820,249000,house,house,for-sale,5,186,1,0,0,,,630,,0,Good
11129270,hingeon,5380,239000,appartment,apartment,for-sale,2,,1,0,0,,274,,,0,As new
11129262,holsbeek,3220,1480000,house,villa,for-sale,5,431,1,0,0,,,11,,0,
11062855,hannut,4280,375000,house,apartment-block,for-sale,4,213,1,0,0,,,840,,0,Good
11129268,lede,9340,550000,house,house,for-sale,3,206,1,0,0,,78,226,,0,
11129273,eksel,3941,329000,house,bungalow,for-sale,3,135,1,0,0,,,1195,,0,Good
11129271,mechelen,2800,398000,appartment,apartment,for-sale,2,97,1,0,0,7,,,,0,Good
11129272,houthalen-helchteren,3530,379000,appartment,ground-floor,for-sale,3,176,1,0,0,,125,,,0,Good
11129281,herentals,2200,429500,house,house,for-sale,3,,1,0,0,,,200,,0,As new
11129274,leopoldsburg,3970,245000,house,house,for-sale,2,110,1,0,0,14,,106,,0,Just renovated
11129275,hamont-achel,3930,399000,house,house,for-sale,3,180,1,0,0,,1500,1945,,0,Just renovated
11129285,kalmthout,2920,445000,house,house,for-sale,3,160,1,0,0,,488,960,,0,Good
11129283,schoten,2900,375000,house,house,for-sale,3,182,1,0,0,,48,135,,0,Just renovated
11129282,hofstade,9308,249000,appartment,duplex,for-sale,2,86,1,0,0,,,,,0,
11129287,rendeux,6987,219000,house,house,for-sale,3,137,1,0,0,10,3307,3307,,0,Just renovated
11125957,ronse,9600,119000,house,house,for-sale,3,126,1,0,0,8,130,230,,0,To renovate
11128434,ixelles,1050,1150000,appartment,duplex,for-sale,3,220,1,0,0,30,,,,0,As new
11128597,neupre,4120,279000,appartment,apartment,for-sale,3,127,1,0,0,,,,,0,Good
11128291,uccle,1180,650000,house,house,for-sale,4,174,1,0,0,10,40,110,,0,As new
11128144,uccle,1180,595000,appartment,apartment,for-sale,3,145,1,0,0,20,,,,0,To renovate
11128213,wetteren,9230,249000,house,house,for-sale,2,90,1,0,0,,,90,,0,Good
11128376,deinze,9800,270000,appartment,apartment,for-sale,1,61,1,0,0,10,,,,0,As new
11128275,antwerpen-merksem,2170,429900,house,mixed-use-building,for-sale,3,210,1,0,0,,,65,,0,Good
11128403,ronse,9600,245000,house,house,for-sale,3,112,1,0,0,10,25,83,,0,As new
11128858,liege,4020,139000,house,house,for-sale,2,97,1,0,0,22,,81,,0,To be done up
11118076,gavere,9890,419760,appartment,apartment,for-sale,2,165,1,0,0,11,,,,0,As new
11118080,gavere,9890,377150,appartment,apartment,for-sale,3,126,1,0,0,11,,,,0,As new
11118083,gavere,9890,373650,appartment,apartment,for-sale,2,126,1,0,0,11,,,,0,As new
11118086,gavere,9890,368500,appartment,apartment,for-sale,3,111,1,0,0,10,,,,0,As new
11118088,gavere,9890,368500,appartment,apartment,for-sale,3,112,1,0,0,10,,,,0,As new
11118087,gavere,9890,335700,appartment,apartment,for-sale,2,97,1,0,0,10,,,,0,As new
11118089,gavere,9890,324200,appartment,apartment,for-sale,2,97,1,0,0,10,,,,0,As new
11118079,gavere,9890,275450,appartment,apartment,for-sale,1,76,1,0,0,11,,,,0,As new
